Date,Open,High,Low,Close,Adj Close,Volume
"Jun 2, 2025","77,738.40","78,633.25","77,136.37","78,443.52","78,443.52","27,76,61,92,817"
"Jun 1, 2025","77,261.00","77,947.97","76,623.12","77,738.98","77,738.98","28,97,27,46,133"
"May 31, 2025","78,262.08","78,886.13","77,031.49","77,263.87","77,263.87","42,83,39,57,818"
"May 30, 2025","80,276.33","80,880.20","78,062.94","78,258.78","78,258.78","41,50,13,18,576"
"May 29, 2025","80,650.28","80,869.70","79,307.21","80,281.36","80,281.36","36,60,64,52,017"
"May 28, 2025","80,672.58","81,675.07","79,217.85","80,652.11","80,652.11","42,51,10,62,235"
"May 27, 2025","80,533.25","81,385.51","80,247.66","80,672.55","80,672.55","33,87,17,85,391"
"May 26, 2025","79,600.02","80,760.66","78,767.96","80,541.82","80,541.82","35,10,04,37,075"
"May 25, 2025","79,213.27","80,820.02","78,930.30","79,591.80","79,591.80","33,89,47,33,357"
"May 24, 2025","83,220.44","83,272.63","78,890.45","79,220.13","79,220.13","49,87,67,98,672"
"May 23, 2025","81,719.59","83,522.47","81,401.86","83,215.91","83,215.91","52,27,95,31,114"
"May 22, 2025","79,711.28","82,538.00","79,166.35","81,723.00","81,723.00","58,18,34,77,323"
"May 21, 2025","79,051.56","80,125.47","78,048.28","79,711.11","79,711.11","27,25,61,04,808"
"May 20, 2025","79,989.57","80,499.09","76,648.84","79,052.14","79,052.14","46,23,16,61,919"
"May 19, 2025","77,683.48","80,114.80","77,650.09","80,001.20","80,001.20","37,49,34,34,714"
"May 18, 2025","77,911.09","78,082.48","77,286.14","77,686.59","77,686.59","28,53,16,22,244"
"May 17, 2025","77,977.57","78,850.34","77,512.05","77,911.09","77,911.09","33,41,60,20,954"
"May 16, 2025","78,057.71","78,373.20","76,468.82","77,984.33","77,984.33","37,89,16,23,350"
"May 15, 2025","78,300.70","78,318.31","77,236.38","78,058.16","78,058.16","34,64,61,90,132"
"May 14, 2025","78,017.30","78,919.11","76,977.68","78,302.57","78,302.57","39,54,51,45,438"
"May 13, 2025","78,368.08","79,750.18","76,504.63","78,017.66","78,017.66","47,99,64,21,501"
"May 12, 2025","78,698.98","78,877.06","77,726.66","78,367.62","78,367.62","34,84,21,17,510"
"May 11, 2025","77,399.24","78,890.52","77,292.95","78,695.41","78,695.41","31,77,74,61,181"
"May 10, 2025","77,978.48","78,625.19","77,347.73","77,397.09","77,397.09","43,74,44,35,976"
"May 9, 2025","73,010.60","78,494.71","72,888.44","77,980.23","77,980.23","52,79,33,26,954"
"May 8, 2025","72,492.80","73,114.21","72,052.45","73,009.16","73,009.16","57,92,42,44,681"
"May 7, 2025","71,290.30","72,563.21","69,766.98","72,494.51","72,494.51","19,88,40,11,505"
"May 6, 2025","71,068.66","71,621.64","70,398.51","71,290.05","71,290.05","19,42,45,93,147"
"May 5, 2025","72,223.90","72,603.09","70,963.16","71,065.95","71,065.95","13,71,24,93,337"
"May 4, 2025","73,008.82","73,038.39","72,167.58","72,234.91","72,234.91","11,88,33,61,077"
"May 3, 2025","72,634.56","73,499.91","72,486.76","73,012.91","73,012.91","19,90,65,15,849"
"May 2, 2025","70,724.94","73,266.82","70,680.48","72,632.58","72,632.58","24,74,66,35,520"
"May 1, 2025","70,306.50","71,290.30","69,788.10","70,720.77","70,720.77","21,27,81,52,736"
"Apr 30, 2025","70,697.47","71,202.71","69,956.25","70,305.25","70,305.25","19,24,28,31,092"
"Apr 29, 2025","70,545.90","71,667.90","69,859.84","70,695.16","70,695.16","24,08,89,56,964"
"Apr 28, 2025","71,104.16","71,585.50","70,356.39","70,545.55","70,545.55","13,61,20,42,953"
"Apr 27, 2025","71,144.53","71,547.68","70,553.08","71,093.66","71,093.66","13,22,98,03,140"
"Apr 26, 2025","70,496.70","71,962.48","69,808.93","71,148.92","71,148.92","30,73,33,13,129"
"Apr 25, 2025","70,629.45","70,554.08","68,911.18","70,488.84","70,488.84","23,62,27,70,934"
"Apr 24, 2025","70,393.67","71,018.08","69,235.51","70,634.52","70,634.52","31,45,00,46,638"
"Apr 23, 2025","65,413.06","70,656.22","65,160.21","70,404.45","70,404.45","42,11,75,21,818"
"Apr 22, 2025","63,964.51","65,986.98","63,908.79","65,410.84","65,410.84","30,93,91,39,982"
"Apr 21, 2025","64,126.46","64,307.62","63,305.36","63,966.58","63,966.58","11,01,28,19,472"
"Apr 20, 2025","63,662.70","64,527.23","63,589.27","64,124.46","64,124.46","11,50,31,16,812"
"Apr 19, 2025","64,001.41","64,148.31","63,548.12","63,662.65","63,662.65","9,59,51,94,408"
"Apr 18, 2025","63,504.25","64,429.28","63,174.11","63,998.07","63,998.07","16,03,94,16,518"
"Apr 17, 2025","63,238.94","64,575.92","62,732.74","63,506.66","63,506.66","22,38,29,74,248"
"Apr 16, 2025","64,171.88","65,361.68","63,171.95","63,234.76","63,234.76","21,19,21,18,948"
"Apr 15, 2025","63,964.38","65,068.09","63,961.41","64,173.93","64,173.93","25,87,74,16,978"
"Apr 14, 2025","65,188.39","65,750.78","63,419.27","63,957.08","63,957.08","22,00,83,83,617"
"Apr 13, 2025","63,755.16","65,629.24","63,269.66","65,194.24","65,194.24","18,54,30,78,702"
"Apr 12, 2025","61,286.21","64,414.27","60,631.70","63,755.41","63,755.41","31,84,28,16,610"
"Apr 11, 2025","64,387.51","64,456.03","60,653.73","61,287.05","61,287.05","34,41,87,74,317"
"Apr 10, 2025","59,645.01","65,142.68","58,095.51","64,393.73","64,393.73","65,67,23,96,987"
"Apr 9, 2025","62,207.26","63,242.67","59,609.18","59,643.75","59,643.75","37,78,14,30,190"
"Apr 8, 2025","60,583.52","63,272.14","57,646.67","62,220.50","62,220.50","71,66,49,14,370"
